player_appearance_id,checkpoint,four_domain_top_third_avg,top_third_consistency_count,top_third_pass_x_top_third_run,cumul_passes_A,cumul_passes_M,cumul_passes_D,cumul_passes_G,passes_received_share_A,passes_received_share_M,passes_received_share_D,passes_received_share_G,shots_per_pass_received,composure_under_pressure_ratio,last15_passes_received_x_last15_sprints,passes_received_share_above_team_avg,subbed_x_last15_intensity_shots,shot_to_pass_ratio,shot_to_press_ratio
39421,H1_15,0.0,0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,,0.0,0.050906795224976986,0.0,0.0,
39422,H1_15,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6999990200013719,14.0,-0.11575987144168964,0.0,0.0,0.0
39423,H1_15,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,,14.0,-0.11575987144168964,0.0,0.0,
39424,H1_15,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1.333331555557926,4.0,-0.11575987144168964,0.0,0.0,0.0
39425,H1_15,0.10197368421052631,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,4.0,0.38424012855831036,0.0,,0.0
39426,H1_15,0.057692307692307696,0,0.0,0.0,4.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.3333328888894815,20.0,-0.06020431588613406,0.0,0.0,0.0
39429,H1_15,0.03125,0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.11575987144168964,0.0,0.0,
39431,H1_15,0.017857142857142856,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.38424012855831036,0.0,,0.0
39433,H1_15,0.041666666666666664,0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.9999970000090003,10.0,0.009240128558310357,0.0,0.0,0.0
39435,H1_15,0.08116883116883117,0,0.025974025974025972,0.0,0.0,7.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.466666013334248,8.0,-0.252123507805326,0.0,0.0,0.0
39436,H1_15,0.09126984126984126,0,0.031746031746031744,0.0,7.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.7777768703714291,9.0,-0.053259871441689643,0.0,0.0,0.0
39437,H1_15,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.011461638340615976,0.0,0.0,
39438,H1_15,0.08854166666666666,0,0.03125,0.0,0.0,12.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.0909079008277445,45.0,-0.059966933087955476,0.0,0.0,0.0
39439,H1_15,0.03125,0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.48936170212765956,0.0,0.0,0.8749991250008751,23.0,0.0008233404682755352,0.0,0.0,0.0
39440,H1_15,0.025,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.4883720930232558,0.0,0.0,1.0476179501145284,21.0,-0.00016626863612823062,0.0,0.0,0.0
39441,H1_15,0.48055555555555557,3,0.3888888888888889,0.0,10.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.8333322916679687,24.0,0.05691618379516139,0.0,0.0,0.0
39442,H1_15,0.8348214285714286,4,0.65625,0.0,12.0,0.0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,0.5714278095248254,24.0,0.011461638340615976,0.0,0.08333333333333333,0.14285714285714285
39443,H1_15,0.2232142857142857,1,0.125,0.0,16.0,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0,0.9523796825413756,13.0,-0.0402624995904185,0.0,0.0,0.0
39444,H1_15,0.20833333333333334,1,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0
39445,H1_15,0.4548611111111111,3,0.16666666666666666,0.0,9.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5142850530620746,0.0,0.011461638340615976,0.0,0.0,0.0
39448,H1_15,0.5071428571428571,3,0.2571428571428571,0.0,7.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.3333330000003334,24.0,-0.02699990012092246,0.0,0.0,0.0
39449,H1_15,0.3113636363636364,2,0.05454545454545454,0.0,0.0,10.0,0.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.49999937500078123,44.0,0.03527116215013981,0.0,0.0,0.0
