player_appearance_id,checkpoint,top_third_presence_joint,top_third_press_share_x_set_piece_share,pressing_minus_pressed_x_cumul_shots,press_turnover_rate_A,press_turnover_rate_M,press_turnover_rate_D,press_turnover_rate_G,forward_pass_share_A,forward_pass_share_M,forward_pass_share_D,forward_pass_share_G,top_third_press_share_above_team_avg,last15_press_events_x_last15_intensity_shots,top_third_presence_avg
39421,H1_15,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,
39422,H1_15,0.0,,0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0
39423,H1_15,,,0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
39424,H1_15,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0
39425,H1_15,0.039473684210526314,,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.20394736842105263
39426,H1_15,0.0,,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.11538461538461539
39429,H1_15,,,0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0625
39431,H1_15,0.0,,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.03571428571428571
39433,H1_15,0.0,,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.08333333333333333
39435,H1_15,0.0,,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.09090909090909091
39436,H1_15,0.0,,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,-0.03125,0.0,0.1111111111111111
39437,H1_15,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
39438,H1_15,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.41238095238095235,0.0,0.09375
39439,H1_15,0.0,,0,0.0,0.0,0.125,0.0,0.0,0.0,0.2857142857142857,0.0,-0.41238095238095235,0.0,0.0625
39440,H1_15,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41238095238095235,0.0,0.05
39441,H1_15,0.37037037037037035,,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.2542857142857143,0.0,0.6111111111111112
39442,H1_15,0.625,0.0,-4,0.0,0.5714285714285714,0.0,0.0,0.0,0.5,0.0,0.0,0.30190476190476195,0.4666666666666667,0.7946428571428572
39443,H1_15,0.07142857142857142,,0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,-0.2695238095238095,0.0,0.3214285714285714
39444,H1_15,0.0,,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.41238095238095235,0.0,0.4166666666666667
39445,H1_15,0.375,,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5876190476190477,0.0,0.6875
39448,H1_15,0.6,,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5876190476190477,0.0,0.8
39449,H1_15,0.3272727272727272,,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.18761904761904763,0.0,0.5727272727272728
39421,H1_30,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,
39422,H1_30,0.0,,0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.5,0.0,-0.28523809523809524,0.0,0.0
39423,H1_30,0.16666666666666666,,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3814285714285714,0.0,0.4583333333333333
39424,H1_30,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.28523809523809524,0.0,0.0
39425,H1_30,0.08928571428571429,,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035238095238095235,0.0,0.3035714285714286
39426,H1_30,0.0857142857142857,,0,0.0,0.5714285714285714,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0004761904761904634,0.0,0.2928571428571428
39429,H1_30,0.15789473684210525,,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.21476190476190476,0.0,0.40789473684210525
39431,H1_30,0.06896551724137931,,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.04809523809523808,0.0,0.27011494252873564
39433,H1_30,0.12631578947368421,0.0,16,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.11476190476190479,0.26666666666666666,0.35789473684210527
39435,H1_30,0.047619047619047616,0.0,5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.11857142857142858,0.2,0.22619047619047616
39436,H1_30,0.07142857142857142,,0,0.0,0.25,0.0,0.0,0.0,0.6,0.0,0.0,-0.035238095238095235,0.0,0.26785714285714285
39437,H1_30,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
39438,H1_30,0.02727272727272727,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.1051785714285714,0.13333333333333333,0.16818181818181818
39439,H1_30,0.0,,0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.45454545454545453,0.0,-0.3051785714285714,0.0,0.045454545454545456
39440,H1_30,0.0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3051785714285714,0.06666666666666667,0.0625
39441,H1_30,0.13186813186813187,,0,0.0,0.21428571428571427,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,-0.019464285714285712,0.0,0.37362637362637363
39442,H1_30,0.4166666666666667,0.0,-6,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1948214285714286,0.0,0.6666666666666667
39443,H1_30,0.041666666666666664,0.0,-13,0.0,0.3125,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,-0.11767857142857141,0.6,0.2048611111111111
39444,H1_30,0.0,0.0,4,0.7142857142857143,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.3051785714285714,0.4,0.23809523809523808
39445,H1_30,0.27391304347826084,,0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.39482142857142855,0.0,0.5456521739130434
39448,H1_30,0.375,,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4448214285714286,0.0,0.625
39449,H1_30,0.21428571428571427,,0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.3333333333333333,0.0,0.12339285714285714,0.0,0.4642857142857143
39421,H1_45,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
39422,H1_45,0.0,,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,-0.2949404761904762,0.0,0.03125
39423,H1_45,0.08333333333333333,,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2050595238095238,0.0,0.3333333333333333
39424,H1_45,0.041666666666666664,,0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.03839285714285712,0.0,0.22916666666666666
39425,H1_45,0.051470588235294115,,0,0.625,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,-0.1699404761904762,0.0,0.26838235294117646
39426,H1_45,0.1354679802955665,0.0,8,0.0,0.5714285714285714,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.06220238095238095,0.4666666666666667,0.36822660098522164
