player_appearance_id,checkpoint,fixture_id,is_home,position,cumul_shots,cumul_shots_on_target,last15_shots,last15_shots_on_target,match_minute_at_cp,shot_accuracy,share_left_foot,share_right_foot,dominant_foot_strength,set_piece_share,is_penalty_taker,last15_intensity,cumul_intensity,intensity_uplift,player_shot_share
39421,H1_15,1159,True,G,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39422,H1_15,1159,True,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39423,H1_15,1159,True,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39424,H1_15,1159,True,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39425,H1_15,1159,True,A,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39426,H1_15,1159,True,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39429,H1_15,1159,True,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39431,H1_15,1159,True,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39433,H1_15,1159,True,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39435,H1_15,1159,True,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39436,H1_15,1159,True,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,
39437,H1_15,1159,False,G,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39438,H1_15,1159,False,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39439,H1_15,1159,False,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39440,H1_15,1159,False,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39441,H1_15,1159,False,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39442,H1_15,1159,False,M,1,1,1,1,15,1.0,0.0,1.0,1.0,0.0,0,0.06666666666666667,0.06666666666666667,0.9999850002249966,1.0
39443,H1_15,1159,False,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39444,H1_15,1159,False,A,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39445,H1_15,1159,False,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39448,H1_15,1159,False,M,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39449,H1_15,1159,False,D,0,0,0,0,15,,,,,,0,0.0,0.0,0.0,0.0
39421,H1_30,1159,True,G,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39422,H1_30,1159,True,D,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39423,H1_30,1159,True,D,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39424,H1_30,1159,True,D,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39425,H1_30,1159,True,A,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39426,H1_30,1159,True,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39429,H1_30,1159,True,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39431,H1_30,1159,True,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39433,H1_30,1159,True,M,2,1,2,1,30,0.5,0.5,0.5,0.5,0.0,0,0.13333333333333333,0.06666666666666667,1.9999700004499932,0.6666666666666666
39435,H1_30,1159,True,D,1,1,1,1,30,1.0,1.0,0.0,1.0,0.0,0,0.06666666666666667,0.03333333333333333,1.999940001799946,0.3333333333333333
39436,H1_30,1159,True,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39437,H1_30,1159,False,G,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39438,H1_30,1159,False,D,1,1,1,1,30,1.0,0.0,1.0,1.0,0.0,0,0.06666666666666667,0.03333333333333333,1.999940001799946,0.2
39439,H1_30,1159,False,D,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39440,H1_30,1159,False,D,1,0,1,0,30,0.0,0.0,0.0,0.0,0.0,0,0.06666666666666667,0.03333333333333333,1.999940001799946,0.2
39441,H1_30,1159,False,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39442,H1_30,1159,False,M,1,1,0,0,30,1.0,0.0,1.0,1.0,0.0,0,0.0,0.03333333333333333,0.0,0.2
39443,H1_30,1159,False,M,1,0,1,0,30,0.0,0.0,1.0,1.0,0.0,0,0.06666666666666667,0.03333333333333333,1.999940001799946,0.2
39444,H1_30,1159,False,A,1,1,1,1,30,1.0,1.0,0.0,1.0,0.0,0,0.06666666666666667,0.03333333333333333,1.999940001799946,0.2
39445,H1_30,1159,False,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39448,H1_30,1159,False,M,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39449,H1_30,1159,False,D,0,0,0,0,30,,,,,,0,0.0,0.0,0.0,0.0
39421,H1_45,1159,True,G,0,0,0,0,45,,,,,,0,0.0,0.0,0.0,0.0
39422,H1_45,1159,True,D,0,0,0,0,45,,,,,,0,0.0,0.0,0.0,0.0
39423,H1_45,1159,True,D,0,0,0,0,45,,,,,,0,0.0,0.0,0.0,0.0
39424,H1_45,1159,True,D,0,0,0,0,45,,,,,,0,0.0,0.0,0.0,0.0
39425,H1_45,1159,True,A,0,0,0,0,45,,,,,,0,0.0,0.0,0.0,0.0
