player_appearance_id,checkpoint,fixture_id,is_home,position,cumul_passes,last15_passes,top_third_pass_share,passes_received_share
39421,H1_15,1159,True,G,2,2,0.0,0.6666666666666666
39422,H1_15,1159,True,D,7,7,0.0,0.5
39423,H1_15,1159,True,D,7,7,0.0,0.5
39424,H1_15,1159,True,D,4,4,0.0,0.5
39425,H1_15,1159,True,A,0,0,,1.0
39426,H1_15,1159,True,M,4,4,0.0,0.5555555555555556
39429,H1_15,1159,True,M,2,2,0.0,0.5
39431,H1_15,1159,True,M,0,0,,1.0
39433,H1_15,1159,True,M,3,3,0.0,0.625
39435,H1_15,1159,True,D,7,7,0.14285714285714285,0.36363636363636365
39436,H1_15,1159,True,M,7,7,0.14285714285714285,0.5625
39437,H1_15,1159,False,G,4,4,0.0,0.5
39438,H1_15,1159,False,D,12,12,0.16666666666666666,0.42857142857142855
39439,H1_15,1159,False,D,24,24,0.0,0.48936170212765956
39440,H1_15,1159,False,D,22,22,0.0,0.4883720930232558
39441,H1_15,1159,False,M,10,10,0.7,0.5454545454545454
39442,H1_15,1159,False,M,12,12,0.75,0.5
39443,H1_15,1159,False,M,16,16,0.25,0.4482758620689655
39444,H1_15,1159,False,A,0,0,,
39445,H1_15,1159,False,M,9,9,0.4444444444444444,0.5
39448,H1_15,1159,False,M,7,7,0.42857142857142855,0.46153846153846156
39449,H1_15,1159,False,D,10,10,0.1,0.5238095238095238
39421,H1_30,1159,True,G,10,8,0.0,0.5454545454545454
39422,H1_30,1159,True,D,22,15,0.045454545454545456,0.5111111111111111
39423,H1_30,1159,True,D,21,14,0.0,0.5
39424,H1_30,1159,True,D,11,7,0.18181818181818182,0.5
39425,H1_30,1159,True,A,3,3,0.0,0.4
39426,H1_30,1159,True,M,7,3,0.14285714285714285,0.5333333333333333
39429,H1_30,1159,True,M,11,9,0.09090909090909091,0.5
39431,H1_30,1159,True,M,1,1,0.0,0.75
39433,H1_30,1159,True,M,5,2,0.4,0.6153846153846154
39435,H1_30,1159,True,D,11,4,0.18181818181818182,0.42105263157894735
39436,H1_30,1159,True,M,15,8,0.26666666666666666,0.5
39437,H1_30,1159,False,G,11,7,0.0,0.47619047619047616
39438,H1_30,1159,False,D,21,9,0.19047619047619047,0.475
39439,H1_30,1159,False,D,42,18,0.0,0.4878048780487805
39440,H1_30,1159,False,D,36,14,0.0,0.5068493150684932
