player_appearance_id,checkpoint,match_minute_at_cp,shot_accuracy,share_left_foot,share_right_foot,dominant_foot_strength,set_piece_share,is_penalty_taker,last15_intensity,cumul_intensity,intensity_uplift,player_shot_share,top_third_run_share,top_third_last15_share,runs_per_minute_played,cumul_press_events,last15_press_events,press_turnover_rate,top_third_press_share,forward_pass_share,mean_abs_pass_angle,cumul_pressing_others,pressing_minus_pressed,cumul_passes,last15_passes,top_third_pass_share,passes_received_share,shots_per_top_third_run,top_third_run_share_A,top_third_run_share_M,top_third_run_share_D,top_third_run_share_G,last15_sprints_A,last15_sprints_M,last15_sprints_D,last15_sprints_G,fatigue_gap,top_third_run_share_x_set_piece_share,top_third_run_share_x_shot_accuracy,shot_intent_under_fatigue,speed_above_team_avg,top_third_presence_joint,top_third_press_share_x_set_piece_share,pressing_minus_pressed_x_cumul_shots,press_turnover_rate_A,press_turnover_rate_M,press_turnover_rate_D,press_turnover_rate_G,forward_pass_share_A,forward_pass_share_M,forward_pass_share_D,forward_pass_share_G,top_third_press_share_above_team_avg,last15_press_events_x_last15_intensity_shots,top_third_presence_avg,four_domain_top_third_avg,top_third_consistency_count,top_third_pass_x_top_third_run,cumul_passes_A,cumul_passes_M,cumul_passes_D,cumul_passes_G,passes_received_share_A,passes_received_share_M,passes_received_share_D,passes_received_share_G,shots_per_pass_received,composure_under_pressure_ratio,last15_passes_received_x_last15_sprints,passes_received_share_above_team_avg,subbed_x_last15_intensity_shots,shot_to_pass_ratio,shot_to_press_ratio
39421,H1_15,15,,,,,,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,2,2,0.0,0.6666666666666666,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,-6.156454545454546,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,,0.0,0.050906795224976986,0.0,0.0,
39422,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4666666666666667,4.0,4.0,0.5,0.0,1.0,21.14864678051866,1.0,-3.0,7,7,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.6495454545454544,0.0,,0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6999990200013719,14.0,-0.11575987144168964,0.0,0.0,0.0
39423,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4,0.0,0.0,,,,,2.0,2.0,7,7,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,1.0085454545454544,,,0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,,14.0,-0.11575987144168964,0.0,0.0,
39424,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,23.1555292307652,0.0,-1.0,4,4,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.7165454545454546,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1.333331555557926,4.0,-0.11575987144168964,0.0,0.0,0.0
39425,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.15789473684210525,0.15789473684210525,1.2666666666666666,4.0,4.0,0.75,0.25,0.0,36.15409465585366,9.0,5.0,0,0,,1.0,0.0,0.15789473684210525,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.37654545454545474,0.039473684210526314,,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.20394736842105263,0.10197368421052631,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,4.0,0.38424012855831036,0.0,,0.0
39426,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.23076923076923078,0.23076923076923078,0.8666666666666667,4.0,4.0,0.75,0.0,0.0,0.5988724005967849,9.0,5.0,4,4,0.0,0.5555555555555556,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.709545454545454,0.0,,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.11538461538461539,0.057692307692307696,0,0.0,0.0,4.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.3333328888894815,20.0,-0.06020431588613406,0.0,0.0,0.0
39429,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.125,0.125,0.5333333333333333,0.0,0.0,,,,,1.0,1.0,2,2,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.3655454545454546,,,0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0625,0.03125,0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.11575987144168964,0.0,0.0,
39431,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.07142857142857142,0.07142857142857142,0.9333333333333333,2.0,2.0,0.5,0.0,0.0,9.18037209130572,3.0,1.0,0,0,,1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.8845454545454547,0.0,,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.03571428571428571,0.017857142857142856,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.38424012855831036,0.0,,0.0
39433,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.16666666666666666,0.16666666666666666,0.8,3.0,3.0,0.6666666666666666,0.0,0.0,68.7941655393476,7.0,4.0,3,3,0.0,0.625,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.568545454545454,0.0,,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.08333333333333333,0.041666666666666664,0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.9999970000090003,10.0,0.009240128558310357,0.0,0.0,0.0
39435,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.18181818181818182,0.18181818181818182,0.7333333333333333,3.0,3.0,0.6666666666666666,0.0,0.0,15.839223718574582,8.0,5.0,7,7,0.14285714285714285,0.36363636363636365,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.4825454545454546,0.0,,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.09090909090909091,0.08116883116883117,0,0.025974025974025972,0.0,0.0,7.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.466666013334248,8.0,-0.252123507805326,0.0,0.0,0.0
