player_appearance_id,checkpoint,match_minute_at_cp,shot_accuracy,share_left_foot,share_right_foot,dominant_foot_strength,set_piece_share,is_penalty_taker,last15_intensity,cumul_intensity,intensity_uplift,player_shot_share,top_third_run_share,top_third_last15_share,runs_per_minute_played,cumul_press_events,last15_press_events,press_turnover_rate,top_third_press_share,forward_pass_share,mean_abs_pass_angle,cumul_pressing_others,pressing_minus_pressed,cumul_passes,last15_passes,top_third_pass_share,passes_received_share,shots_per_top_third_run,top_third_run_share_A,top_third_run_share_M,top_third_run_share_D,top_third_run_share_G,last15_sprints_A,last15_sprints_M,last15_sprints_D,last15_sprints_G,fatigue_gap,top_third_run_share_x_set_piece_share,top_third_run_share_x_shot_accuracy,shot_intent_under_fatigue,speed_above_team_avg,top_third_presence_joint,top_third_press_share_x_set_piece_share,pressing_minus_pressed_x_cumul_shots,press_turnover_rate_A,press_turnover_rate_M,press_turnover_rate_D,press_turnover_rate_G,forward_pass_share_A,forward_pass_share_M,forward_pass_share_D,forward_pass_share_G,top_third_press_share_above_team_avg,last15_press_events_x_last15_intensity_shots,top_third_presence_avg,four_domain_top_third_avg,top_third_consistency_count,top_third_pass_x_top_third_run,cumul_passes_A,cumul_passes_M,cumul_passes_D,cumul_passes_G,passes_received_share_A,passes_received_share_M,passes_received_share_D,passes_received_share_G,shots_per_pass_received,composure_under_pressure_ratio,last15_passes_received_x_last15_sprints,passes_received_share_above_team_avg,subbed_x_last15_intensity_shots,shot_to_pass_ratio,shot_to_press_ratio,player_id,fixture_id,date,checkpoint_period,checkpoint_min,position,is_home,formation,minute_in,minute_out,subbed,jersey_number,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,last15_passes_top_third,cumul_passes_top_third,minutes_active,active_windows,ratio_sprints,ratio_hsr,ratio_distance,ratio_mean_max_speed,ratio_peak_speed,ratio_shots,ratio_shots_on_target,ratio_shots_under_press,ratio_shots_top_third,ratio_passes_top_third,formation_offensiveness,cumul_shot_accuracy,last15_shot_accuracy,minutes_remaining
39421,H1_15,15,,,,,,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,2,2,0.0,0.6666666666666666,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,-6.156454545454546,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,,0.0,0.0509067952249769,0.0,0.0,,2732.0,1159.0,2025-06-11,half_1,15.0,D,True,4-1-4-1,1.0,90.0,False,2.0,2.0,5.0,68.15,6.806,7.46,0.0,0.0,0.0,0.0,2.0,5.0,68.15,6.806,7.46,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39422,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4666666666666667,4.0,4.0,0.5,0.0,1.0,21.14864678051866,1.0,-3.0,7,7,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.6495454545454544,0.0,,0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6999990200013719,14.0,-0.1157598714416896,0.0,0.0,0.0,3296.0,1159.0,2025-06-11,half_1,15.0,D,True,4-1-4-1,1.0,90.0,False,4.0,2.0,4.0,68.49,7.165,7.87,0.0,0.0,0.0,0.0,2.0,4.0,68.49,7.165,7.87,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39423,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4,0.0,0.0,,,,,2.0,2.0,7,7,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,1.0085454545454544,,,0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,,14.0,-0.1157598714416896,0.0,0.0,,3297.0,1159.0,2025-06-11,half_1,15.0,D,True,4-1-4-1,1.0,90.0,False,5.0,1.0,5.0,80.36,6.873,8.95,0.0,0.0,0.0,0.0,1.0,5.0,80.36,6.873,8.95,0.0,0.0,0.0,0.0,0.0,11.0,11.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39424,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.4,1.0,1.0,0.0,0.0,1.0,23.1555292307652,0.0,-1.0,4,4,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.7165454545454546,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03125,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,1.333331555557926,4.0,-0.1157598714416896,0.0,0.0,0.0,3298.0,1159.0,2025-06-11,half_1,15.0,A,True,4-1-4-1,1.0,75.0,True,6.0,4.0,15.0,183.3,6.533,7.68,0.0,0.0,0.0,0.0,4.0,15.0,183.3,6.533,7.68,0.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,60.0
39425,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.1578947368421052,0.1578947368421052,1.2666666666666666,4.0,4.0,0.75,0.25,0.0,36.15409465585366,9.0,5.0,0,0,,1.0,0.0,0.1578947368421052,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.3765454545454547,0.0394736842105263,,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.2039473684210526,0.1019736842105263,0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,4.0,0.3842401285583103,0.0,,0.0,3299.0,1159.0,2025-06-11,half_1,15.0,M,True,4-1-4-1,1.0,87.0,True,7.0,4.0,9.0,138.44,6.866,8.45,0.0,0.0,0.0,0.0,4.0,9.0,138.44,6.866,8.45,0.0,0.0,0.0,0.0,1.0,5.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,72.0
39426,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.2307692307692307,0.2307692307692307,0.8666666666666667,4.0,4.0,0.75,0.0,0.0,0.5988724005967849,9.0,5.0,4,4,0.0,0.5555555555555556,0.0,0.0,0.2307692307692307,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.709545454545454,0.0,,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.1153846153846153,0.0576923076923076,0,0.0,0.0,4.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.3333328888894815,20.0,-0.060204315886134,0.0,0.0,0.0,3302.0,1159.0,2025-06-11,half_1,15.0,M,True,4-1-4-1,1.0,90.0,False,10.0,0.0,8.0,153.41,6.522,7.13,0.0,0.0,0.0,0.0,0.0,8.0,153.41,6.522,7.13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39429,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.125,0.125,0.5333333333333333,0.0,0.0,,,,,1.0,1.0,2,2,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.3655454545454546,,,0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0625,0.03125,0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,-0.1157598714416896,0.0,0.0,,3303.0,1159.0,2025-06-11,half_1,15.0,M,True,4-1-4-1,1.0,80.0,True,15.0,4.0,10.0,249.47,7.041,9.88,0.0,0.0,0.0,0.0,4.0,10.0,249.47,7.041,9.88,0.0,0.0,0.0,0.0,0.0,4.0,4.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,65.0
39431,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.0714285714285714,0.0714285714285714,0.9333333333333332,2.0,2.0,0.5,0.0,0.0,9.18037209130572,3.0,1.0,0,0,,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0.8845454545454547,0.0,,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0357142857142857,0.0178571428571428,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.3842401285583103,0.0,,0.0,2713.0,1159.0,2025-06-11,half_1,15.0,M,True,4-1-4-1,1.0,87.0,True,18.0,2.0,10.0,159.45,6.725,7.79,0.0,0.0,0.0,0.0,2.0,10.0,159.45,6.725,7.79,0.0,0.0,0.0,0.0,0.0,4.0,4.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,72.0
39433,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.1666666666666666,0.1666666666666666,0.8,3.0,3.0,0.6666666666666666,0.0,0.0,68.7941655393476,7.0,4.0,3,3,0.0,0.625,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.568545454545454,0.0,,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0833333333333333,0.0416666666666666,0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.9999970000090004,10.0,0.0092401285583103,0.0,0.0,0.0,2695.0,1159.0,2025-06-11,half_1,15.0,D,True,4-1-4-1,1.0,90.0,False,21.0,2.0,9.0,103.61,6.639,7.77,0.0,0.0,0.0,0.0,2.0,9.0,103.61,6.639,7.77,0.0,0.0,0.0,0.0,1.0,5.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39435,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.1818181818181818,0.1818181818181818,0.7333333333333333,3.0,3.0,0.6666666666666666,0.0,0.0,15.839223718574582,8.0,5.0,7,7,0.1428571428571428,0.3636363636363636,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.4825454545454546,0.0,,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0909090909090909,0.0811688311688311,0,0.0259740259740259,0.0,0.0,7.0,0.0,0.0,0.0,0.3636363636363636,0.0,0.0,0.466666013334248,8.0,-0.252123507805326,0.0,0.0,0.0,3305.0,1159.0,2025-06-11,half_1,15.0,M,True,4-1-4-1,1.0,80.0,True,22.0,1.0,8.0,123.71,6.551,8.67,0.0,0.0,0.0,0.0,1.0,8.0,123.71,6.551,8.67,0.0,0.0,0.0,0.0,0.0,7.0,7.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,65.0
39436,H1_15,15,,,,,,0,0.0,0.0,0.0,,0.2222222222222222,0.2222222222222222,0.6,3.0,3.0,0.3333333333333333,0.0,0.5,38.184629486939926,6.0,3.0,7,7,0.1428571428571428,0.5625,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.3945454545454545,0.0,,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,-0.03125,0.0,0.1111111111111111,0.0912698412698412,0,0.0317460317460317,0.0,7.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.7777768703714291,9.0,-0.0532598714416896,0.0,0.0,0.0,3307.0,1159.0,2025-06-11,half_1,15.0,D,False,4-1-4-1,1.0,90.0,False,2.0,5.0,11.0,233.68,7.098,9.48,0.0,0.0,0.0,0.0,5.0,11.0,233.68,7.098,9.48,0.0,0.0,0.0,0.0,1.0,12.0,12.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39437,H1_15,15,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,,,,,0.0,0.0,4,4,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.783999999999999,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0114616383406159,0.0,0.0,,3308.0,1159.0,2025-06-11,half_1,15.0,D,False,4-1-4-1,1.0,90.0,False,3.0,1.0,7.0,102.21,6.656,8.62,0.0,0.0,0.0,0.0,1.0,7.0,102.21,6.656,8.62,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39438,H1_15,15,,,,,,0,0.0,0.0,0.0,0.0,0.1875,0.1875,1.0666666666666669,3.0,3.0,0.0,0.0,0.3333333333333333,49.60343876326393,4.0,1.0,12,12,0.1666666666666666,0.4285714285714285,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,-0.1380000000000008,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.4123809523809523,0.0,0.09375,0.0885416666666666,0,0.03125,0.0,0.0,12.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,1.0909079008277445,45.0,-0.0599669330879554,0.0,0.0,0.0,3309.0,1159.0,2025-06-11,half_1,15.0,D,False,4-1-4-1,1.0,90.0,False,5.0,1.0,9.0,124.69,6.368,7.4,0.0,0.0,0.0,0.0,1.0,9.0,124.69,6.368,7.4,0.0,0.0,0.0,0.0,1.0,,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,17.0,0.0,0.0,75.0
39439,H1_15,15,,,,,,0,0.0,0.0,0.0,0.0,0.125,0.125,0.5333333333333333,8.0,8.0,0.125,0.0,0.2857142857142857,62.88117627380817,1.0,-7.0,24,24,0.0,0.4893617021276595,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,-0.580000000000001,0.0,,0,0.0,0.0,0.125,0.0,0.0,0.0,0.2857142857142857,0.0,-0.4123809523809523,0.0,0.0625,0.03125,0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.4893617021276595,0.0,0.0,0.8749991250008751,23.0,0.0008233404682755,0.0,0.0,0.0,3310.0,1159.0,2025-06-11,half_1,15.0,M,False,4-1-4-1,1.0,90.0,False,6.0,2.0,7.0,97.71,6.733,8.03,0.0,0.0,0.0,0.0,2.0,7.0,97.71,6.733,8.03,0.0,0.0,0.0,0.0,0.0,22.0,22.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,75.0
39440,H1_15,15,,,,,,0,0.0,0.0,0.0,0.0,0.1,0.1,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,31.88226412155848,0.0,-1.0,22,22,0.0,0.4883720930232558,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,-0.8680000000000003,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4123809523809523,0.0,0.05,0.025,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.4883720930232558,0.0,0.0,1.0476179501145284,21.0,-0.0001662686361282,0.0,0.0,0.0,3311.0,1159.0,2025-06-11,half_1,15.0,M,False,4-1-4-1,1.0,90.0,False,7.0,2.0,6.0,95.66,6.79,7.9,1.0,1.0,0.0,1.0,2.0,6.0,95.66,6.79,7.9,1.0,1.0,0.0,1.0,0.0,24.0,24.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,17.0,0.999999000001,0.999999000001,75.0
39441,H1_15,15,,,,,,0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.6,6.0,6.0,0.3333333333333333,0.6666666666666666,0.25,29.63145554661976,4.0,-2.0,10,10,0.7,0.5454545454545454,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,-0.503000000000001,0.3703703703703703,,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.2542857142857143,0.0,0.6111111111111112,0.4805555555555555,3,0.3888888888888889,0.0,10.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.8333322916679687,24.0,0.0569161837951613,0.0,0.0,0.0,3312.0,1159.0,2025-06-11,half_1,15.0,M,False,4-1-4-1,1.0,77.0,True,8.0,1.0,3.0,41.66,6.672,8.28,0.0,0.0,0.0,0.0,1.0,3.0,41.66,6.672,8.28,0.0,0.0,0.0,0.0,0.0,8.0,8.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,17.0,0.0,0.0,62.0
